State,Education,Public Welfare,Hospitals,Health,Highways,Police Protection,Correction,Natural Resources,Parks and Rec,Government Administration,Interest on General Debt,Other and Unallocable,Utility,Liquor Stores,Insurance Trust
Alabama,36.4917789361,21.9529611126,7.3287961516,1.9209361718,6.0265562619,0.5526390414,1.8323442621,0.9488003107,0.0700204001,2.0103220883,1.2203471975,4.2069126713,0,0.9164385186,11.4647638002
Alaska,20.0227143126,14.8660974083,0.569370104,2.4876459449,8.2232060351,1.1906930811,2.391372984,2.3664487304,0.2086318382,4.7306575594,1.8765665935,17.4457647815,1.4906330033,0,9.2623490973
Arizona,25.504005853,22.9917104958,1.8507708439,5.2075791702,5.3360797751,0.6288891813,2.2437643321,0.7120662441,0.21202681,1.7570464359,1.3486744474,7.314993962,0.0936432122,0,11.3213016913
Arkansas,34.9015470315,23.8603236039,4.3457001806,1.3808422889,5.6599553601,0.5064501156,1.8746007454,1.1536272404,0.2702385656,2.8131382532,0.639438648,4.1092472384,0,0,9.1102622462
California,25.4300431089,25.3725079863,2.8880984485,2.785719784,4.1836454951,0.5076473638,2.4875253551,1.3008996819,0.1658730333,2.3346464149,2.2920964518,4.2794548144,0.2759445257,0,15.6165223614
Colorado,30.5899879968,18.84768162,2.2932951441,3.4056667934,4.6750119067,0.5576316031,3.1487571178,1.036781315,0.2680337793,2.6012040108,2.7328021259,4.6785714908,0.0510379173,0,17.8754375336
Connecticut,22.0369871292,22.9785908869,4.0460237474,2.9837121855,3.3160691483,0.730391002,2.1025832041,0.5149963129,0.1949465416,3.7349218066,4.5068652779,7.3228103497,2.3594550124,0,15.1701488065
Delaware,30.818716759,22.1268027819,0.5340682202,5.0482384561,6.6835929528,1.4193473355,3.1658486414,0.823267705,0.4940930876,5.4300733787,3.9645430341,6.8616119509,1.5113653534,0,8.2020979255
Florida,24.9799396613,23.5418757232,0.8575278828,3.9331880212,6.1333828552,0.5375238634,2.242379386,1.1496241376,0.1093268343,2.6794035283,1.3729165604,6.7599720517,0.1483565319,0,9.6102246877
Georgia,32.4149385367,21.534738547,1.7729918794,2.2516916101,4.0582039314,0.5976936537,2.7809720779,0.8503598974,0.3675769137,1.5471864862,1.2438460243,2.9388036461,0.0697293994,0,12.6087135762
Hawaii,26.2962736362,16.2142277546,6.1783929365,3.8233204727,3.1616107962,0.2650222264,1.5526052163,0.8739700232,0.7404894201,3.1922713966,2.696510578,13.0133506868,0.0429820056,0,10.6145082655
Idaho,28.310369495,23.3283129996,0.5585369703,1.9001735891,7.3634921078,0.5811540279,2.6744351219,2.3204419654,0.4097158791,3.5701941255,1.7226552426,5.8264159992,0,1.1077460015,11.1657666341
Illinois,20.4419077775,24.1730629866,1.592507086,2.6518220789,5.8812610352,0.5534137966,1.5707456168,0.2810196624,0.310577009,1.6269736932,4.1460989794,9.2283032933,0,0,16.6909758701
Indiana,38.3136345569,28.1802186682,0.421174101,1.3001305212,6.6331741978,0.6228457146,1.8045415846,0.878442547,0.202300846,1.468510496,2.5212923731,5.3533233133,0,0,8.766038774
Iowa,28.0018373742,22.7901666544,6.5783822675,1.1115057768,7.1776455345,0.4169326187,1.4495942307,1.2783662606,0.1345047258,2.3835956696,1.063627912,5.101232618,0,0.7601460515,10.5649449537
Kansas,33.6260861093,18.8020494896,8.6410875541,1.9798187613,6.5595326555,0.5832035447,1.9265802174,1.2861521773,0.2191773673,2.2850049672,1.1949249622,3.4806849286,0,0,10.6634860476
Kentucky,33.011209978,24.7361453295,3.9541692079,2.4135733264,8.2605345794,0.6892232283,1.8581936495,1.1656076582,0.3461061755,3.0681806992,2.4187100078,3.4847582334,0.0907422194,0,15.377991663
Louisiana,28.4305094461,22.9374783378,6.1808016286,1.6771303041,5.4935080887,1.1418750663,2.2449962756,2.5642434174,1.1506239752,3.0250192865,2.7180167757,11.4291257868,0.0165662655,0,13.5491435945
Maine,21.0952710658,30.220426439,1.1693486921,5.0595054324,6.421189323,0.7898813444,1.4293862147,1.7962429598,0.2611136552,3.0194505225,2.4350478216,8.6009638596,0.2461731731,0,10.9688630951
